      时间,    开盘,    最高,    最低,    收盘,         成交量,   MA.MA1   ,   MA.MA2   ,   MA.MA3   ,   MA.MA4   ,  VOL.VOLUME,  VOL.MAVOL1,  VOL.MAVOL2, MACD.DIF   , MACD.DEA   , MACD.MACD  
 2016/08/12-10:30,3008.67,3009.76,3003.35,3008.44,1782407,3011.8,3016.9,3020.15,2995.42,1782407,2270822.5,2251878.5,2.39,5.76,-6.75
 2016/08/12-11:00,3008.12,3017.3,3006.06,3016.3,1486616,3009.6,3015.4,3020.05,2996.28,1486616,2228019.25,1993830.38,2.32,5.07,-5.5
 2016/08/12-11:30,3015.54,3016.86,3009.4,3009.71,1291540,3009.2,3014.8,3019.3,2996.93,1291540,2113536,1813913.63,1.72,4.4,-5.37
 2016/08/12-13:30,3009.99,3011.43,3004.43,3006.66,1284601,3010,3013.4,3018.5,2997.48,1284601,1719091.25,1780838.38,0.99,3.72,-5.47
 2016/08/12-14:00,3006.72,3027.34,3006.32,3022.02,2146807,3012.6,3013.5,3018.2,2998.3,2146807,1598464,1866854.38,1.62,3.3,-3.35
 2016/08/12-14:30,3022.51,3037.75,3021.54,3037.48,2742884,3018.4,3015.1,3018.45,2999.37,2742884,1790361.63,2030592,3.34,3.31,0.06
 2016/08/12-15:00,3037.38,3051.02,3037.38,3050.67,4445202,3025.4,3017.5,3019.85,3000.55,4445202,2382028.75,2305024,5.7,3.79,3.82
 2016/08/15-10:00,3056.48,3086.28,3054.12,3086.15,6167194,3040.6,3024.9,3022.8,3002.4,6167194,3357286.5,2735411.25,10.31,5.09,10.44
 2016/08/15-10:30,3086.36,3086.99,3077.15,3079.9,4181713,3055.2,3032.6,3025.85,3004.15,4181713,3936870.5,2827980.75,13.31,6.73,13.15
 2016/08/15-11:00,3079.96,3100.7,3079.96,3100.7,3421394,3071,3041.8,3029.9,3006.25,3421394,4191641.5,2895052.75,17.16,8.82,16.69
 2016/08/15-11:30,3100.56,3122.3,3100.53,3122.3,4092311,3088,3053.2,3035.05,3008.65,4092311,4461568,3125964.75,21.71,11.4,20.63
 2016/08/15-13:30,3122.37,3137.48,3122.37,3131.78,4637120,3104.2,3064.8,3040.1,3011.38,4637120,4500070.5,3441049.5,25.78,14.28,23.02
 2016/08/15-14:00,3132.44,3136.77,3128.37,3129,3220833,3112.8,3076.7,3045.75,3014.1,3220833,3910656,3633971.25,28.46,17.11,22.69
 2016/08/15-14:30,3128.99,3133.43,3124.19,3127.6,2834300,3122.2,3088.7,3051.05,3016.73,2834300,3641139.25,3789004.75,30.12,19.71,20.81
 2016/08/15-15:00,3127.4,3133.19,3121.5,3125.2,4244242,3127.2,3099.1,3056.3,3019.28,4244242,3805798.5,3998720,30.89,21.95,17.88
 2016/08/16-10:00,3130.53,3140.44,3121.28,3123.11,7841145,3127.4,3107.7,3061.4,3021.73,7841145,4555571,4508569.5,30.97,23.75,14.43
 2016/08/16-10:30,3122.74,3131.03,3120.52,3122.93,4403927,3125.6,3114.9,3066.2,3024.18,4403927,4508877,4504473.5,30.66,25.13,11.06
 2016/08/16-11:00,3122.79,3123.11,3111.95,3116.61,3673393,3123,3117.9,3071.4,3026.52,3673393,4599398.5,4255027,29.57,26.02,7.1
 2016/08/16-11:30,3117.13,3117.79,3102.49,3108.95,3157755,3119.4,3120.8,3076.7,3028.63,3157755,4664115,4152627.25,27.77,26.37,2.8
 2016/08/16-13:30,3108.45,3116.31,3108.15,3109.75,2458856,3116.2,3121.7,3081.75,3030.8,2458856,4306944,4056371.25,26.1,26.32,-0.43
 2016/08/16-14:00,3109.65,3115.16,3106.63,3112.1,2397593,3114,3120.7,3086.95,3032.93,2397593,3218432,3887001.5,24.69,25.99,-2.61
 2016/08/16-14:30,3111.88,3119.24,3109.56,3114.29,2781722,3112.2,3118.9,3091.85,3035.22,2781722,2893824,3701350.5,23.47,25.49,-4.03
 2016/08/16-15:00,3114.11,3114.11,3106.25,3110.04,4140090,3111,3117,3096.85,3037.4,4140090,2987212.75,3793305.5,21.92,24.77,-5.72
 2016/08/17-10:00,3106.99,3113.96,3096.37,3105.53,5520574,3110.4,3114.9,3101.8,3039.47,5520574,3459686.5,4061900.75,20.08,23.84,-7.5
 2016/08/17-10:30,3105.4,3109.5,3099.58,3101.02,3319111,3108.6,3112.4,3105.75,3041.4,3319111,3631923.25,3969433.5,18.06,22.68,-9.24
 2016/08/17-11:00,3101.08,3105.7,3095.75,3096.39,2746508,3105.4,3109.7,3108.7,3043.38,2746508,3701555.25,3459993.5,15.9,21.33,-10.85
 2016/08/17-11:30,3096.33,3104.13,3090.28,3104.09,2442080,3103.4,3107.8,3111.35,3045.52,2442080,3633766.5,3263795.25,14.64,19.99,-10.69
 2016/08/17-13:30,3104.06,3112.86,3101.61,3111.02,2057057,3103.6,3107.3,3112.6,3047.85,2057057,3216998.5,3102105.5,14.04,18.8,-9.52
 2016/08/17-14:00,3111.57,3112.93,3106.6,3111.16,2116150,3104.8,3107.6,3114.2,3050.12,2116150,2536243.25,2997964.75,13.42,17.72,-8.6
 2016/08/17-14:30,3110.8,3113.57,3107.77,3108.24,2319531,3106.2,3107.4,3114.55,3052.2,2319531,2336153.5,2984038.5,12.55,16.69,-8.28
 2016/08/17-15:00,3108.8,3110.38,3102.46,3109.55,3819511,3108.8,3107.1,3113.9,3054.27,3819511,2550784,3126169.5,11.83,15.72,-7.77
 2016/08/18-10:00,3107.75,3125.58,3107.71,3116.52,5273026,3111.4,3107.4,3113.15,3056.38,5273026,3117056,3375411.25,11.69,14.91,-6.45
 2016/08/18-10:30,3116.59,3116.59,3109.48,3112.15,3262843,3111.6,3107.6,3112.3,3058.37,3262843,3358310.5,3287654.5,11.09,14.15,-6.11
 2016/08/18-11:00,3111.96,3114.91,3105.53,3112.72,2440506,3111.8,3108.3,3111.6,3060.4,2440506,3423027.25,2979635.25,10.54,13.43,-5.76
 2016/08/18-11:30,3112.32,3122.82,3112.21,3122.16,2631697,3114.6,3110.4,3111.4,3062.37,2631697,3485491.25,2910822.5,10.75,12.89,-4.28
 2016/08/18-13:30,3122.61,3125.17,3112.99,3114.62,2870869,3115.6,3112.2,3110.95,3064.23,2870869,3295846.5,2923315.25,10.19,12.35,-4.33
 2016/08/18-14:00,3114.27,3115.25,3099.55,3109.87,3110282,3114.2,3112.8,3110.3,3066.02,3110282,2863104,2990080,9.25,11.73,-4.96
 2016/08/18-14:30,3109.61,3111.46,3093.35,3099.92,2848899,3111.8,3111.7,3109.5,3067.53,2848899,2780364.75,3069337.5,7.62,10.91,-6.58
 2016/08/18-15:00,3099.44,3104.69,3097.18,3104.11,3258839,3110,3110.9,3109.25,3069.05,3258839,2944204.75,3183616,6.58,10.04,-6.92
 2016/08/19-10:00,3100.39,3105.22,3096.3,3098.41,4022753,3105.4,3110,3108.7,3070.38,4022753,3222323.25,3353907.25,5.25,9.08,-7.67
 2016/08/19-10:30,3097.47,3098.38,3091.24,3097.49,2802438,3102,3108.8,3107.95,3071.68,2802438,3208601.5,3252224,4.06,8.08,-8.03
 2016/08/19-11:00,3097.53,3098.83,3090.4,3098.26,2056061,3099.8,3107,3107.2,3073.03,2056061,2997862.5,2930483.25,3.15,7.09,-7.88
